lat,lon,type,description
49.206992,16.147596,Os4828,Stojí ve stanici v 11:51 <a href='https://www.cd.cz/vlak/4828' target='_blank'>info</a>
50.185988,12.643267,Os7007,Jede do Sokolov-PDV RAILWAY (úsek 1.18km) v 11:53 <a href='https://www.cd.cz/vlak/7007' target='_blank'>info</a>
50.624845,16.267942,Sp1748,Jede do Ruprechtice (úsek 1.78km) v 11:45 <a href='https://www.cd.cz/vlak/1748' target='_blank'>info</a>
49.791618,18.412013,Os3413,Stojí ve stanici v 11:54 <a href='https://www.cd.cz/vlak/3413' target='_blank'>info</a>
49.790111,18.291628,Os3131,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/3131' target='_blank'>info</a>
49.932314,14.303738,R761,Jede do Všenory (úsek 1.36km) v 11:46 <a href='https://www.cd.cz/vlak/761' target='_blank'>info</a>
50.219095,14.676298,R787,Jede do Stará Boleslav (úsek 5.39km) v 11:53 <a href='https://www.cd.cz/vlak/787' target='_blank'>info</a>
49.844933,18.195386,Os3416,Jede do Děhylov (úsek 4.71km) v 11:54 <a href='https://www.cd.cz/vlak/3416' target='_blank'>info</a>
50.353087,14.492574,Os9528,Stojí ve stanici v 11:50 <a href='https://www.cd.cz/vlak/9528' target='_blank'>info</a>
49.554014,18.336038,Os3104,Jede do Čeladná (úsek 4.55km) v 11:47 <a href='https://www.cd.cz/vlak/3104' target='_blank'>info</a>
49.957075,14.075869,Os19908,Stojí ve stanici v 11:36 <a href='https://www.cd.cz/vlak/19908' target='_blank'>info</a>
50.08293,14.435587,Os8833,Stojí ve stanici v 11:48 <a href='https://www.cd.cz/vlak/8833' target='_blank'>info</a>
48.974485,14.48878,Os8221,Stojí ve stanici v 11:36 <a href='https://www.cd.cz/vlak/8221' target='_blank'>info</a>
49.309023,16.486311,Os4926,Jede do Čebín (úsek 6.38km) v 11:48 <a href='https://www.cd.cz/vlak/4926' target='_blank'>info</a>
49.592625,17.278327,Os14018,Stojí ve stanici v 11:44 <a href='https://www.cd.cz/vlak/14018' target='_blank'>info</a>
49.653431,16.513661,R868,Jede do Březová nad Svitavou-Dlouhá (úsek 2.68km) v 11:46 <a href='https://www.cd.cz/vlak/868' target='_blank'>info</a>
50.099297,13.736241,Os19704,Stojí ve stanici v 11:41 <a href='https://www.cd.cz/vlak/19704' target='_blank'>info</a>
50.188297,14.999242,Os5821,Jede do Kamenné Zboží (úsek 2.96km) v 11:42 <a href='https://www.cd.cz/vlak/5821' target='_blank'>info</a>
50.088606,17.683323,Os3517,Stojí ve stanici v 11:37 <a href='https://www.cd.cz/vlak/3517' target='_blank'>info</a>
48.987956,16.356048,Os4428,Stojí ve stanici v 11:52 <a href='https://www.cd.cz/vlak/4428' target='_blank'>info</a>
49.4728,17.129658,Os24711,Stojí ve stanici v 11:53 <a href='https://www.cd.cz/vlak/24711' target='_blank'>info</a>
49.860418,15.449122,Os5908,Jede do Horky u Čáslavi (úsek 4.6km) v 11:49 <a href='https://www.cd.cz/vlak/5908' target='_blank'>info</a>
49.318297,17.107558,R829,Jede do Chvalkovice na Hané (úsek 2.5km) v 11:48 <a href='https://www.cd.cz/vlak/829' target='_blank'>info</a>
48.931824,14.473116,Os3802,Jede do km 0.047=0.000 (úsek 4.16km) v 11:50 <a href='https://www.cd.cz/vlak/3802' target='_blank'>info</a>
50.075004,13.779783,Os7711,Jede do Chlum u Rakovníka (úsek 2.27km) v 11:49 <a href='https://www.cd.cz/vlak/7711' target='_blank'>info</a>
49.278424,16.67463,Os4719,Jede do Babice nad Svitavou (úsek 2.5km) v 11:44 <a href='https://www.cd.cz/vlak/4719' target='_blank'>info</a>
49.106098,16.6057,Os4931,Jede do Popovice u Rajhradu (úsek 3.33km) v 11:46 <a href='https://www.cd.cz/vlak/4931' target='_blank'>info</a>
50.244312,13.744496,Os6710,Jede do Solopysky (úsek 4.78km) v 11:39 <a href='https://www.cd.cz/vlak/6710' target='_blank'>info</a>
49.441741,14.690539,Os8271,Jede do Tábor (úsek 8.41km) v 11:51 <a href='https://www.cd.cz/vlak/8271' target='_blank'>info</a>
